train_loss,valid_loss
4.073254210244355,3.529340591721413
3.6494945282098055,3.248624008489039
3.562160268716266,3.3231645233745164
3.525231554253318,3.238680117632435
3.5271549093565726,3.2490199275252714
3.533826228207616,3.293064350801667
3.5806801139088247,3.6099677198216433
3.653004252398283,3.3574492445267756
3.569533967549899,3.291205431601013
3.5154361852406733,3.255460595815895
3.5050218763730014,3.277506369952212
3.5366595615481127,3.249459044070809
3.569066508348946,3.3121684821150463
3.5108994484563163,3.269687308833655
3.546670669951646,3.248420221681714
3.5990630530928773,3.2832231850625693
3.534093834711878,3.2966609279936048
3.566009182930681,3.3604131456320467
3.556382761091918,3.302835740574763
3.548830268555522,3.252523720334496
3.4861833926671246,3.2898308608482636
3.5668013987417444,3.2395605399106207
3.550535716561279,3.268482643444372
3.529821225296478,3.257334897278992
3.556090183105878,3.2877973790528237
3.5690306938875476,3.270974727420297
3.547416248995015,3.2518610407948563
3.543075350020807,3.2575129968887886
3.540922121119085,3.26660268253922
3.526888417713578,3.2656017695487995
3.549838540433972,3.3898980059419195
3.588139078194528,3.3396415529571426
3.5755297670256385,3.3098409504408894
3.59643119236568,3.345482036371956
3.5482005161228036,3.3122007422828044
3.5700276121378267,3.2877857018903893
3.5172517486479147,3.277986448577846
3.59241357016381,3.3418713537499314
3.559382631978038,3.36500025877283
3.5676022013373907,3.278965528340346
3.5898406477470153,3.319873537277995
3.5331270149362557,3.2574246364461037
3.5497223147797916,3.2782116297557753
3.5533486052694383,3.289770062895231
3.5425931785743465,3.365199152331826
3.580384265158112,3.2755989554087015
3.539238846674043,3.2844688622807694
3.5586354412814085,3.2582660715732756
3.523756667652446,3.24573698805123
3.529848972554022,3.2446668802535594
