train_loss,valid_loss
3.7422507079422473,3.3438968204727724
3.5583185279511076,3.262841193859574
3.5001719232664965,3.325770189234647
3.523369259917229,3.313409372728517
3.5072913737867686,3.233548107536958
3.4834957920024787,3.331702001924363
3.4794160565400425,3.2698548288803435
3.531719945994814,3.29524793197627
3.5283245537975265,3.3173062323338294
3.4814407913625267,3.2370373693049994
3.5181690629818823,3.3161924672110707
3.570712193681456,3.2561208258365095
3.51411872134904,3.2519124730124727
3.5237770289299997,3.2639810966769534
3.456425867723333,3.248228430830286
3.4944543640703185,3.249690768560968
3.4906618940068297,3.243141119121079
3.527077877836041,3.2773138785147427
3.4730296401155574,3.2719512745052763
3.4984494672246247,3.3237716458083884
3.512620464467713,3.2610825765485165
3.4991745860412165,3.3073436134393432
3.5012883373165096,3.2791877679975987
3.5205173658296016,3.297318804419463
3.5147310984291824,3.45158895968192
3.5416473785205116,3.2459172452333016
3.4858593478298143,3.2692119030245355
3.5466996122516155,3.25505133130557
3.498991069602051,3.2392812566398472
3.489530116526077,3.239294923252791
3.5069635864436974,3.2466464713980945
3.5228630799396554,3.3292225359530794
3.511689444525705,3.236511222191085
3.4952486355076644,3.3091087208663583
3.5071419283222087,3.2493133779459167
3.500683072284907,3.2384476217973592
3.489477966423423,3.240695351854019
3.5204031697545353,3.270998528707761
3.5625650175096912,3.282106193609115
3.509578538097169,3.244566293309211
3.504844668875983,3.262117343384946
3.4587408815806686,3.285225441937277
3.5385905771595167,3.3329649394856613
3.5528332099808693,3.2819803997892034
3.532428714153452,3.262870226759494
3.5141728822574403,3.2285974983289045
3.509297244572597,3.262110418549045
3.5066899686929993,3.358050470997524
3.527702473516299,3.2618436597837492
3.495643536304482,3.3271913051000577
